"Original Text","Initial","Machine translation","Better translation","Best translation"
"オープニング","","","",""
"All characters in this game are fictional and any
similarities to real people is purely coincidence.
Any characters engaged in sexually explicit content
are over the age of 18. ","","Все персонажи в этой игре вымышленные и любой
сходство с реальными людьми чистое совпадение.
Любые персонажи, задействованные в откровенно сексуальном контенте
старше 18 лет.","",""
"show_treasure_popup","","","",""
"\n<Adventurer A>Looks like we're almost to the city.","","\n<Adventurer A>Похоже, мы почти в городе.","",""
"\n<Adventurer B>\C[1]The City of Ruins, Gardona\C[0]... 
do you really think we're going get rich there?","","\n<Adventurer B>\C[1]Город руин, Гардона\C[0]...
ты правда думаешь, что мы там разбогатеем?","",""
"\n<Adventurer A>Of course. It's like I keep telling you, several years back; 
gold, ancient scrolls, and some unknown metals were discovered from 
within the ruins.","","\n<Adventurer A> Конечно. Как будто я постоянно говорю вам, несколько лет назад;
золото, древние свитки и некоторые неизвестные металлы были обнаружены в
внутри руин.","",""
"\n<Adventurer A>It's rumored that adventurers, treasure hunters, and traders 
are all flocking there. They're all trying to catch 
their ""big break."" ","","\n<Adventurer A>Ходят слухи, что искатели приключений, охотники за сокровищами и торговцы
все туда стекаются. Они все пытаются поймать
их «большой прорыв».","",""
"\n<Adventurer A>Thanks to that rumor, the city has become overcrowded.","","\n<Adventurer A> Благодаря этому слуху город стал переполнен.","",""
"\n<Adventurer B>If there's that many people, doesn't that mean there 
are less opportunities?","","\n<Adventurer B>Если там так много людей, значит там
меньше возможностей?","",""
"\n<Adventurer A>Not necessarily.
Apparently, no one has found the innermost depths of the ruins 
yet. And they say there's something even more incredible than 
mere treasure in there. We can't ignore that, right?","","\n<Adventurer A> Не обязательно.
Судя по всему, никто не нашел сокровенных глубин руин.
еще. И они говорят, что есть что-то еще более невероятное, чем
просто сокровище там. Мы не можем игнорировать это, верно?","",""
"\n<Adventurer B>Doesn't that sound crazy dangerous, though?","","\n<Adventurer B>Разве это не звучит безумно опасно?","",""
"\n<Adventurer A>Well sure, there are monsters in the ruins. Also, 
apparently something brutal is lurking in there. 
And recently, there's been thieves, mercenaries, 
and other dangerous people in the city.","","\n<Adventurer A>Конечно, в руинах есть монстры. Также,
видимо что-то жестокое там таится.
А недавно появились воры, наемники,
и другие опасные люди в городе.","",""
"\n<Adventurer B>Hey! Now you're making me not want to go!","","\n<Adventurer B>Эй! Теперь ты заставляешь меня не хотеть идти!","",""
"\n<Adventurer A>But the kingdom's investigation hasn't started yet, 
so now's our chance! If we move quick, we can 
strip that place clean!","","\n<Adventurer A>Но расследование королевства еще не началось,
так что теперь наш шанс! Если мы будем двигаться быстро, мы сможем
раздень это место начисто!","",""
"\n<Adventurer A>That's why it's worth the risk! We're aiming for 
the motherlode!","","\n<Adventurer A> Вот почему стоит рискнуть! Мы стремимся к
матушка!","",""
"\n<Adventurer B>Hahh, I guess I have no choice. But if things get dicey, 
we're out of here, okay?","","\n<Adventurer B>Hahh, наверное, у меня нет выбора. Но если все становится рискованным,
мы уходим отсюда, хорошо?","",""
"\n<Adventurer A>Hehe... I got your back. 
Now let's go get rich!","","\n<Adventurer A>Хе-хе... Я тебя прикрою.
Теперь пойдем разбогатеем!","",""
"\n<???>Sorry to burst your bubble, but I'm afraid you won't be 
making it to Gardona! Hyahahaha!","","\n<???>Извините, что лопнул ваш пузырь, но, боюсь, вы не будете
добраться до Гардоны! Хяхахаха!","",""
"\n<Bandit>Y'know, since you'll be dyin' here.","","\n<Bandit>Знаешь, раз уж ты здесь умрешь.","",""
"\n<Adventurer B>Wha... bandits!?","","\n<Adventurer B>Что... бандиты!?","",""
"\n<Bandit>Looks like you two fell for that rumor. 
Thanks to that, business is booming for us!","","\n<Bandit>Похоже, вы двое повелись на этот слух.
Благодаря этому бизнес у нас процветает!","",""
"\n<Bandit>And with all these fish in a barrel, it looks like we'll 
be workin' overtime! Uhehehehe.","","\n<Bandit>И со всей этой рыбой в бочке, похоже, мы
работать сверхурочно! Ухе-хе-хе.","",""
"\n<Adventurer B>This can't be happening... we're so close to town too... ","","\n<Adventurer B>Этого не может быть... мы тоже так близко к городу...","",""
